index,filename,ground_truth,predicted_verdict,predicted_label_binary,confidence,raw_bonafide_score,raw_spoof_score,inference_time_ms,error_type,account
1,file1004.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,spoof,human,bonafide,1.0,1.0,0.0,29,false_negative,eval1
2,file1129.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,spoof,human,bonafide,0.997942,0.997942,0.002058,61,false_negative,eval2
5,file1054.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,spoof,human,bonafide,0.99976,0.99976,0.00024,60,false_negative,eval1
7,file1270.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,spoof,human,bonafide,0.999979,0.999979,2.1e-05,109,false_negative,eval3
8,file1040.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,spoof,human,bonafide,0.999986,0.999986,1.4e-05,59,false_negative,eval0
9,file1204.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,spoof,human,bonafide,0.952188,0.952188,0.047812,5,false_negative,eval1
10,file1005.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,spoof,human,bonafide,0.841609,0.841609,0.158391,65,false_negative,eval2
11,file13.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,spoof,human,bonafide,0.740212,0.740212,0.259788,3,false_negative,eval3
12,file1280.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,spoof,human,bonafide,0.999996,0.999996,4e-06,72,false_negative,eval0
14,file1102.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,spoof,human,bonafide,0.999979,0.999979,2.1e-05,4,false_negative,eval2
15,file1263.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,spoof,human,bonafide,0.850356,0.850356,0.149644,66,false_negative,eval3
16,file127.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,spoof,human,bonafide,0.999744,0.999744,0.000256,54,false_negative,eval0
17,file1296.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,spoof,human,bonafide,0.999996,0.999996,4e-06,65,false_negative,eval1
18,file1045.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,spoof,human,bonafide,0.999983,0.999983,1.7e-05,61,false_negative,eval2
19,file116.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,spoof,human,bonafide,0.999889,0.999889,0.000111,58,false_negative,eval3
20,file1149.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,spoof,human,bonafide,0.991923,0.991923,0.008077,48,false_negative,eval0
21,file1157.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,spoof,human,bonafide,0.978504,0.978504,0.021496,74,false_negative,eval1
22,file1125.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,spoof,human,bonafide,0.999997,0.999997,3e-06,4,false_negative,eval2
23,file1097.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,spoof,human,bonafide,0.999989,0.999989,1.1e-05,1,false_negative,eval3
24,file130.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,spoof,human,bonafide,0.999907,0.999907,9.3e-05,66,false_negative,eval0
25,file1292.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,spoof,human,bonafide,0.999978,0.999978,2.2e-05,16,false_negative,eval1
26,file1131.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,spoof,human,bonafide,0.999305,0.999305,0.000695,5,false_negative,eval2
27,file129.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,spoof,human,bonafide,0.999967,0.999967,3.3e-05,61,false_negative,eval3
28,file1183.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,spoof,human,bonafide,0.956376,0.956376,0.043624,72,false_negative,eval0
29,file100.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,spoof,human,bonafide,0.999824,0.999824,0.000176,1,false_negative,eval1
30,file1171.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,spoof,human,bonafide,0.997945,0.997945,0.002055,50,false_negative,eval2
31,file1038.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,spoof,human,bonafide,0.999998,0.999998,2e-06,57,false_negative,eval3
32,file1230.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,spoof,human,bonafide,0.761626,0.761626,0.238374,3,false_negative,eval0
33,file1268.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,spoof,human,bonafide,0.858559,0.858559,0.141441,57,false_negative,eval1
34,file1070.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,spoof,human,bonafide,0.761159,0.761159,0.238841,71,false_negative,eval2
35,file1186.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,spoof,human,bonafide,0.987054,0.987054,0.012946,3,false_negative,eval3
36,file1029.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,spoof,human,bonafide,0.999992,0.999992,8e-06,52,false_negative,eval0
37,file1286.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,spoof,human,bonafide,0.999965,0.999965,3.5e-05,63,false_negative,eval1
38,file1245.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,spoof,human,bonafide,0.999619,0.999619,0.000381,74,false_negative,eval2
39,file1018.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,spoof,human,bonafide,0.999998,0.999998,2e-06,60,false_negative,eval3
40,file1010.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,spoof,human,bonafide,0.822285,0.822285,0.177715,66,false_negative,eval0
41,file1083.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,spoof,human,bonafide,0.999979,0.999979,2.1e-05,5,false_negative,eval1
42,file1135.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,spoof,human,bonafide,0.973945,0.973945,0.026055,3,false_negative,eval2
43,file1074.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,spoof,human,bonafide,0.999902,0.999902,9.8e-05,78,false_negative,eval3
44,file113.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,spoof,human,bonafide,0.871109,0.871109,0.128891,77,false_negative,eval0
45,file1053.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,spoof,human,bonafide,0.999998,0.999998,2e-06,1,false_negative,eval1
46,file1001.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,spoof,human,bonafide,0.997644,0.997644,0.002356,4,false_negative,eval2
47,file1265.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,spoof,human,bonafide,0.999948,0.999948,5.2e-05,2,false_negative,eval3
48,file1019.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,spoof,human,bonafide,0.999988,0.999988,1.2e-05,22,false_negative,eval0
49,file1110.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,spoof,human,bonafide,0.954745,0.954745,0.045255,4,false_negative,eval1
