precision,recall,threshold
0.5,1.0,0.0
0.7014925373134329,0.94,1e-06
0.7540983606557377,0.92,2e-06
0.7666666666666667,0.92,3e-06
0.7719298245614035,0.88,4e-06
0.8,0.88,6e-06
0.7962962962962963,0.86,1.1e-05
0.8113207547169812,0.86,2e-05
0.8076923076923077,0.84,2.1e-05
0.8235294117647058,0.84,3.8e-05
0.84,0.84,4.1e-05
0.8571428571428571,0.84,5e-05
0.875,0.84,0.000111
0.8723404255319149,0.82,0.000223
0.8695652173913043,0.8,0.000318
0.8666666666666667,0.78,0.000327
0.8636363636363636,0.76,0.000652
0.8604651162790697,0.74,0.0009
0.8809523809523809,0.74,0.001408
0.9024390243902439,0.74,0.001615
0.9,0.72,0.002176
0.8974358974358975,0.7,0.002186
0.9210526315789473,0.7,0.003169
0.9459459459459459,0.7,0.003894
0.9444444444444444,0.68,0.005291
0.9428571428571428,0.66,0.006478
0.9411764705882353,0.64,0.00997
0.9393939393939394,0.62,0.010059
0.9375,0.6,0.012385
0.9354838709677419,0.58,0.01566
0.9333333333333333,0.56,0.021319
0.9310344827586207,0.54,0.026343
0.9285714285714286,0.52,0.044685
0.9259259259259259,0.5,0.050455
0.9615384615384616,0.5,0.103116
0.96,0.48,0.114793
0.9583333333333334,0.46,0.139849
0.9565217391304348,0.44,0.17137
0.9545454545454546,0.42,0.239506
1.0,0.42,0.268841
1.0,0.4,0.312509
1.0,0.38,0.329118
1.0,0.36,0.336514
1.0,0.34,0.375454
1.0,0.32,0.408512
1.0,0.3,0.565472
1.0,0.28,0.612483
1.0,0.26,0.638121
1.0,0.24,0.683322
1.0,0.22,0.787364
1.0,0.2,0.807748
1.0,0.18,0.815105
1.0,0.16,0.843655
1.0,0.14,0.886304
1.0,0.12,0.94893
1.0,0.1,0.957782
1.0,0.08,0.960187
1.0,0.06,0.978659
1.0,0.04,0.981204
1.0,0.02,0.994169
1.0,0.0,
