precision,recall,threshold
0.5,1.0,0.0
0.5104166666666666,0.98,1e-06
0.5212765957446809,0.98,2e-06
0.5168539325842697,0.92,3e-06
0.5113636363636364,0.9,4e-06
0.5180722891566265,0.86,5e-06
0.524390243902439,0.86,6e-06
0.5308641975308642,0.86,7e-06
0.5512820512820513,0.86,8e-06
0.5454545454545454,0.84,9e-06
0.56,0.84,1e-05
0.5675675675675675,0.84,1.1e-05
0.5616438356164384,0.82,1.2e-05
0.5882352941176471,0.8,1.4e-05
0.582089552238806,0.78,1.5e-05
0.6,0.78,1.7e-05
0.6129032258064516,0.76,1.8e-05
0.6229508196721312,0.76,2e-05
0.6333333333333333,0.76,2.1e-05
0.6140350877192983,0.7,2.2e-05
0.6071428571428571,0.68,3e-05
0.6181818181818182,0.68,3.1e-05
0.6296296296296297,0.68,3.3e-05
0.6226415094339622,0.66,3.5e-05
0.6153846153846154,0.64,3.8e-05
0.6274509803921569,0.64,4e-05
0.64,0.64,5.2e-05
0.6326530612244898,0.62,5.5e-05
0.6458333333333334,0.62,6.3e-05
0.6595744680851063,0.62,6.4e-05
0.6739130434782609,0.62,6.5e-05
0.7045454545454546,0.62,8.7e-05
0.7209302325581395,0.62,8.9e-05
0.7380952380952381,0.62,9.3e-05
0.7317073170731707,0.6,9.4e-05
0.75,0.6,9.8e-05
0.7435897435897436,0.58,0.000109
0.7631578947368421,0.58,0.000111
0.7567567567567568,0.56,0.000141
0.7777777777777778,0.56,0.000142
0.8,0.56,0.000148
0.8235294117647058,0.56,0.000176
0.8181818181818182,0.54,0.00024
0.8125,0.52,0.000256
0.8064516129032258,0.5,0.00034
0.8333333333333334,0.5,0.000355
0.8620689655172413,0.5,0.000381
0.8571428571428571,0.48,0.000453
0.8888888888888888,0.48,0.000521
0.9230769230769231,0.48,0.000695
0.92,0.46,0.001264
0.9583333333333334,0.46,0.002055
0.9565217391304348,0.44,0.002058
0.9545454545454546,0.42,0.002356
0.9523809523809523,0.4,0.003487
1.0,0.4,0.008077
1.0,0.38,0.012946
1.0,0.36,0.021496
1.0,0.34,0.026055
1.0,0.32,0.043624
1.0,0.3,0.045255
1.0,0.28,0.047812
1.0,0.26,0.128891
1.0,0.24,0.141441
1.0,0.22,0.149644
1.0,0.2,0.158391
1.0,0.18,0.177715
1.0,0.16,0.238374
1.0,0.14,0.238841
1.0,0.12,0.259788
1.0,0.1,0.676812
1.0,0.08,0.778546
1.0,0.06,0.82462
1.0,0.04,0.863929
1.0,0.02,0.932804
1.0,0.0,
