fpr,tpr,threshold
0.0,0.0,inf
0.0,0.02,0.932804
0.0,0.4,0.008077
0.02,0.4,0.003487
0.02,0.46,0.002055
0.04,0.46,0.001264
0.04,0.48,0.000695
0.08,0.48,0.000453
0.08,0.5,0.000381
0.12,0.5,0.00034
0.12,0.56,0.000176
0.18,0.56,0.000141
0.18,0.58,0.000111
0.2,0.58,0.000109
0.2,0.6,9.8e-05
0.22,0.6,9.4e-05
0.22,0.62,9.3e-05
0.26,0.62,8.7e-05
0.3,0.62,6.5e-05
0.36,0.62,5.5e-05
0.36,0.64,5.2e-05
0.4,0.64,3.8e-05
0.4,0.68,3.3e-05
0.44,0.68,3e-05
0.44,0.7,2.2e-05
0.44,0.76,2.1e-05
0.48,0.76,1.8e-05
0.52,0.78,1.7e-05
0.56,0.78,1.5e-05
0.56,0.8,1.4e-05
0.64,0.82,1.2e-05
0.64,0.84,1.1e-05
0.66,0.84,1e-05
0.7,0.84,9e-06
0.7,0.86,8e-06
0.76,0.86,7e-06
0.8,0.86,5e-06
0.86,0.9,4e-06
0.86,0.92,3e-06
0.9,0.98,2e-06
0.94,0.98,1e-06
1.0,1.0,0.0
