timestamp,container,cpu_pct,mem_usage_mb,mem_limit_mb
2026-07-31T03:38:33Z,voiceguard-backend-1,0.14,81.35,15851.5
2026-07-31T03:38:33Z,voiceguard-postgres-1,0.00,52.55,15851.5
2026-07-31T03:38:33Z,voiceguard-redis-1,0.58,10.52,15851.5
2026-07-31T03:38:33Z,voiceguard-frontend-1,8.81,53.97,15851.5
2026-07-31T03:38:38Z,voiceguard-backend-1,98.96,84.24,15851.5
2026-07-31T03:38:38Z,voiceguard-postgres-1,15.31,80.91,15851.5
2026-07-31T03:38:38Z,voiceguard-redis-1,0.42,10.08,15851.5
2026-07-31T03:38:38Z,voiceguard-frontend-1,6.62,53.9,15851.5
2026-07-31T03:38:43Z,voiceguard-backend-1,99.46,84.57,15851.5
2026-07-31T03:38:43Z,voiceguard-postgres-1,4.07,98.85,15851.5
2026-07-31T03:38:43Z,voiceguard-redis-1,0.47,10.59,15851.5
2026-07-31T03:38:43Z,voiceguard-frontend-1,7.54,53.83,15851.5
2026-07-31T03:38:49Z,voiceguard-backend-1,0.57,84.97,15851.5
2026-07-31T03:38:49Z,voiceguard-postgres-1,0.01,99.14,15851.5
2026-07-31T03:38:49Z,voiceguard-redis-1,0.50,10.91,15851.5
2026-07-31T03:38:49Z,voiceguard-frontend-1,9.45,53.73,15851.5
2026-07-31T03:38:54Z,voiceguard-backend-1,1.15,85.06,15851.5
2026-07-31T03:38:54Z,voiceguard-postgres-1,0.03,98.96,15851.5
2026-07-31T03:38:54Z,voiceguard-redis-1,0.54,10.49,15851.5
2026-07-31T03:38:54Z,voiceguard-frontend-1,9.06,54.16,15851.5
2026-07-31T03:38:59Z,voiceguard-backend-1,1.33,85.17,15851.5
2026-07-31T03:38:59Z,voiceguard-postgres-1,0.00,98.94,15851.5
2026-07-31T03:38:59Z,voiceguard-redis-1,0.39,10.55,15851.5
2026-07-31T03:38:59Z,voiceguard-frontend-1,8.67,53.53,15851.5
2026-07-31T03:39:04Z,voiceguard-backend-1,1.34,84.97,15851.5
2026-07-31T03:39:04Z,voiceguard-postgres-1,0.02,98.48,15851.5
2026-07-31T03:39:04Z,voiceguard-redis-1,0.56,10.62,15851.5
2026-07-31T03:39:04Z,voiceguard-frontend-1,6.88,53.65,15851.5
2026-07-31T03:39:09Z,voiceguard-backend-1,1.20,85.05,15851.5
2026-07-31T03:39:09Z,voiceguard-postgres-1,0.02,98.55,15851.5
2026-07-31T03:39:09Z,voiceguard-redis-1,0.52,10.62,15851.5
2026-07-31T03:39:09Z,voiceguard-frontend-1,8.11,53.73,15851.5
2026-07-31T03:39:14Z,voiceguard-backend-1,98.47,84.58,15851.5
2026-07-31T03:39:14Z,voiceguard-postgres-1,0.98,99.37,15851.5
2026-07-31T03:39:14Z,voiceguard-redis-1,0.35,10.42,15851.5
2026-07-31T03:39:14Z,voiceguard-frontend-1,8.44,53.65,15851.5
2026-07-31T03:39:19Z,voiceguard-backend-1,11.50,84.88,15851.5
2026-07-31T03:39:19Z,voiceguard-postgres-1,0.37,99.55,15851.5
2026-07-31T03:39:19Z,voiceguard-redis-1,0.41,10.48,15851.5
2026-07-31T03:39:19Z,voiceguard-frontend-1,7.62,53.82,15851.5
2026-07-31T03:39:24Z,voiceguard-backend-1,9.48,85.04,15851.5
2026-07-31T03:39:24Z,voiceguard-postgres-1,0.02,99.31,15851.5
2026-07-31T03:39:24Z,voiceguard-redis-1,0.44,10.78,15851.5
2026-07-31T03:39:24Z,voiceguard-frontend-1,7.66,53.2,15851.5
2026-07-31T03:39:29Z,voiceguard-backend-1,8.92,85.08,15851.5
2026-07-31T03:39:29Z,voiceguard-postgres-1,0.01,99.11,15851.5
2026-07-31T03:39:29Z,voiceguard-redis-1,0.43,10.6,15851.5
2026-07-31T03:39:29Z,voiceguard-frontend-1,7.20,53.13,15851.5
2026-07-31T03:39:34Z,voiceguard-backend-1,3.54,84.88,15851.5
2026-07-31T03:39:34Z,voiceguard-postgres-1,0.01,98.9,15851.5
2026-07-31T03:39:34Z,voiceguard-redis-1,0.42,10.16,15851.5
2026-07-31T03:39:34Z,voiceguard-frontend-1,6.54,53.33,15851.5
2026-07-31T03:39:39Z,voiceguard-backend-1,0.37,84.91,15851.5
2026-07-31T03:39:39Z,voiceguard-postgres-1,0.00,99.19,15851.5
2026-07-31T03:39:39Z,voiceguard-redis-1,0.54,10.22,15851.5
2026-07-31T03:39:39Z,voiceguard-frontend-1,7.89,53.03,15851.5
2026-07-31T03:39:44Z,voiceguard-backend-1,0.13,81.38,15851.5
2026-07-31T03:39:44Z,voiceguard-postgres-1,0.01,51.55,15851.5
2026-07-31T03:39:44Z,voiceguard-redis-1,0.52,8.148,15851.5
2026-07-31T03:39:44Z,voiceguard-frontend-1,8.97,53.07,15851.5
2026-07-31T03:39:49Z,voiceguard-backend-1,0.14,81.38,15851.5
2026-07-31T03:39:49Z,voiceguard-postgres-1,0.02,52.93,15851.5
2026-07-31T03:39:49Z,voiceguard-redis-1,0.45,9.668,15851.5
2026-07-31T03:39:49Z,voiceguard-frontend-1,8.68,53.14,15851.5
2026-07-31T03:39:54Z,voiceguard-backend-1,0.15,81.38,15851.5
2026-07-31T03:39:54Z,voiceguard-postgres-1,0.00,53.7,15851.5
2026-07-31T03:39:54Z,voiceguard-redis-1,0.53,9.992,15851.5
2026-07-31T03:39:54Z,voiceguard-frontend-1,8.69,53.52,15851.5
