timestamp,container,cpu_pct,mem_usage_mb,mem_limit_mb
2026-08-05T20:17:54Z,voiceguard-backend-1,0.10,257.9,15851.5
2026-08-05T20:17:54Z,voiceguard-postgres-1,0.07,81.01,15851.5
2026-08-05T20:17:54Z,voiceguard-redis-1,0.33,10.02,15851.5
2026-08-05T20:17:54Z,voiceguard-frontend-1,5.29,108,15851.5
2026-08-05T20:18:00Z,voiceguard-backend-1,239.39,260.4,15851.5
2026-08-05T20:18:00Z,voiceguard-postgres-1,7.93,85.04,15851.5
2026-08-05T20:18:00Z,voiceguard-redis-1,0.52,10.16,15851.5
2026-08-05T20:18:00Z,voiceguard-frontend-1,6.61,108.2,15851.5
2026-08-05T20:18:05Z,voiceguard-backend-1,205.97,261.3,15851.5
2026-08-05T20:18:05Z,voiceguard-postgres-1,66.73,80.33,15851.5
2026-08-05T20:18:05Z,voiceguard-redis-1,0.57,9.676,15851.5
2026-08-05T20:18:05Z,voiceguard-frontend-1,8.07,108,15851.5
2026-08-05T20:18:11Z,voiceguard-backend-1,40.51,261.1,15851.5
2026-08-05T20:18:11Z,voiceguard-postgres-1,8.03,82.98,15851.5
2026-08-05T20:18:11Z,voiceguard-redis-1,0.47,9.98,15851.5
2026-08-05T20:18:11Z,voiceguard-frontend-1,5.74,107.6,15851.5
2026-08-05T20:18:16Z,voiceguard-backend-1,44.17,261.4,15851.5
2026-08-05T20:18:16Z,voiceguard-postgres-1,8.33,82,15851.5
2026-08-05T20:18:16Z,voiceguard-redis-1,0.46,10.22,15851.5
2026-08-05T20:18:16Z,voiceguard-frontend-1,6.22,107.5,15851.5
2026-08-05T20:18:22Z,voiceguard-backend-1,44.79,261.7,15851.5
2026-08-05T20:18:22Z,voiceguard-postgres-1,8.62,82.18,15851.5
2026-08-05T20:18:22Z,voiceguard-redis-1,0.43,10.5,15851.5
2026-08-05T20:18:22Z,voiceguard-frontend-1,6.72,107.7,15851.5
2026-08-05T20:18:27Z,voiceguard-backend-1,40.89,261,15851.5
2026-08-05T20:18:27Z,voiceguard-postgres-1,7.86,82.5,15851.5
2026-08-05T20:18:27Z,voiceguard-redis-1,0.48,10.53,15851.5
2026-08-05T20:18:27Z,voiceguard-frontend-1,5.55,107.7,15851.5
2026-08-05T20:18:32Z,voiceguard-backend-1,42.57,260.8,15851.5
2026-08-05T20:18:32Z,voiceguard-postgres-1,15.70,81.93,15851.5
2026-08-05T20:18:32Z,voiceguard-redis-1,0.50,10.54,15851.5
2026-08-05T20:18:32Z,voiceguard-frontend-1,7.02,106.9,15851.5
2026-08-05T20:18:38Z,voiceguard-backend-1,43.81,261.1,15851.5
2026-08-05T20:18:38Z,voiceguard-postgres-1,8.47,82.3,15851.5
2026-08-05T20:18:38Z,voiceguard-redis-1,0.52,10.98,15851.5
2026-08-05T20:18:38Z,voiceguard-frontend-1,6.23,107,15851.5
2026-08-05T20:18:43Z,voiceguard-backend-1,32.88,261,15851.5
2026-08-05T20:18:43Z,voiceguard-postgres-1,6.27,83.05,15851.5
2026-08-05T20:18:43Z,voiceguard-redis-1,0.41,10.75,15851.5
2026-08-05T20:18:43Z,voiceguard-frontend-1,6.01,107.1,15851.5
2026-08-05T20:18:48Z,voiceguard-backend-1,35.20,261,15851.5
2026-08-05T20:18:48Z,voiceguard-postgres-1,5.94,83.12,15851.5
2026-08-05T20:18:48Z,voiceguard-redis-1,0.44,10.75,15851.5
2026-08-05T20:18:48Z,voiceguard-frontend-1,6.95,107.6,15851.5
2026-08-05T20:18:53Z,voiceguard-backend-1,11.09,261.2,15851.5
2026-08-05T20:18:53Z,voiceguard-postgres-1,1.93,83.18,15851.5
2026-08-05T20:18:53Z,voiceguard-redis-1,0.37,10.51,15851.5
2026-08-05T20:18:53Z,voiceguard-frontend-1,6.20,107.5,15851.5
2026-08-05T20:18:58Z,voiceguard-backend-1,0.24,261,15851.5
2026-08-05T20:18:58Z,voiceguard-postgres-1,0.01,82.54,15851.5
2026-08-05T20:18:58Z,voiceguard-redis-1,0.30,10.56,15851.5
2026-08-05T20:18:58Z,voiceguard-frontend-1,5.03,106.7,15851.5
2026-08-05T20:19:02Z,voiceguard-backend-1,0.12,258.2,15851.5
2026-08-05T20:19:02Z,voiceguard-postgres-1,0.02,80.8,15851.5
2026-08-05T20:19:02Z,voiceguard-redis-1,0.33,8.051,15851.5
2026-08-05T20:19:02Z,voiceguard-frontend-1,5.44,106.9,15851.5
2026-08-05T20:19:08Z,voiceguard-backend-1,0.13,258.2,15851.5
2026-08-05T20:19:08Z,voiceguard-postgres-1,0.01,82.07,15851.5
2026-08-05T20:19:08Z,voiceguard-redis-1,0.37,9.348,15851.5
2026-08-05T20:19:08Z,voiceguard-frontend-1,5.21,108.1,15851.5
