experiment_id,phase,dataset_scale,train_n,dev_n,eval_n,epochs,seed,variable_changed,dev_eer,eval_eer,balanced_accuracy,roc_auc,precision,recall,f1,pr_auc,weak_attack_mean_eer,avg_epoch_time_seconds,outcome,notes
LCNN_full_production_baseline,initial_training,full,25380,24844,71237.0,28,42,n/a (initial full training run),0.000135,0.2283,0.7862,0.8547,0.9956,0.5951,0.7449,0.9821,,773.0,baseline,checkpoints/best.pt (epoch 18). Currently deployed candidate. See LCNN_Training_Report.md.
imbalance_standard_ce,class_imbalance_ablation,subset,2000,1000,,8,42,class_imbalance_strategy,0.23301,,,0.836175,0.897,1.0,0.945704,,,,rejected,Dev-subset only (A01-A06) — predates the eval-subset (A07-A19) evaluation protocol. weighted_sampler adopted for full production training.
imbalance_weighted_ce,class_imbalance_ablation,subset,2000,1000,,8,42,class_imbalance_strategy,0.271845,,,0.788767,0.961194,0.717949,0.821953,,,,rejected,Dev-subset only (A01-A06) — predates the eval-subset (A07-A19) evaluation protocol. weighted_sampler adopted for full production training.
imbalance_weighted_sampler,class_imbalance_ablation,subset,2000,1000,,8,42,class_imbalance_strategy,0.086957,,,0.97161,0.982497,0.938685,0.960091,,,,winner,Dev-subset only (A01-A06) — predates the eval-subset (A07-A19) evaluation protocol. weighted_sampler adopted for full production training.
augmentation_baseline,waveform_augmentation_ablation,subset,2000,1000,3000.0,8,42,waveform_augmentation (noise/channel),0.086957,0.3107692307692309,0.7000961538461539,0.759860576923077,,0.6026923076923076,0.737758945386064,,0.4499999999997777,,baseline,"eval_eer/balanced_accuracy/roc_auc/f1/recall measured on the fixed 3000-file eval SUBSET (A07-A19), not the full 71237-file eval split."
augmentation_noise,waveform_augmentation_ablation,subset,2000,1000,3000.0,8,42,waveform_augmentation (noise/channel),0.473529,0.5108536585365577,0.5,0.4474389423076923,,1.0,0.9285714285714286,,0.5161094771241966,,collapsed,"eval_eer/balanced_accuracy/roc_auc/f1/recall measured on the fixed 3000-file eval SUBSET (A07-A19), not the full 71237-file eval split."
augmentation_channel,waveform_augmentation_ablation,subset,2000,1000,3000.0,8,42,waveform_augmentation (noise/channel),0.174757,0.3123076923076922,0.6896153846153845,0.762198076923077,,0.6642307692307692,0.7777527583877505,,0.3987500000001522,,no_improvement,"eval_eer/balanced_accuracy/roc_auc/f1/recall measured on the fixed 3000-file eval SUBSET (A07-A19), not the full 71237-file eval split."
augmentation_noise_channel,waveform_augmentation_ablation,subset,2000,1000,3000.0,8,42,waveform_augmentation (noise/channel),0.427184,0.4474999999999119,0.5,0.5832591346153847,,1.0,0.9285714285714286,,0.4662499999998316,,collapsed,"eval_eer/balanced_accuracy/roc_auc/f1/recall measured on the fixed 3000-file eval SUBSET (A07-A19), not the full 71237-file eval split."
lcnn_exp_label_smoothing_005,post_augmentation_reassessment,subset,2000,1000,3000,8,42,label_smoothing=0.05,0.106796,0.308077,0.708365,0.764628,0.949172,0.639231,0.763962,0.957557,0.4475,170.9,no_improvement,vs augmentation_baseline: eval_subset_eer 0.3108 -> 0.3081 (-0.0027); weak_attack_mean_eer 0.4500 -> 0.4475
lcnn_exp_label_smoothing_010,post_augmentation_reassessment,subset,2000,1000,3000,8,42,label_smoothing=0.10,0.112598,0.300385,0.708558,0.767649,0.945813,0.664615,0.780664,0.958103,0.434583,156.69,no_improvement,vs augmentation_baseline: eval_subset_eer 0.3108 -> 0.3004 (-0.0104); weak_attack_mean_eer 0.4500 -> 0.4346
lcnn_exp_ema,post_augmentation_reassessment,subset,2000,1000,3000,8,42,"EMA(decay=0.999, warmup)",0.105909,0.304615,0.712885,0.768021,0.959672,0.585769,0.72749,0.958656,0.442083,144.71,no_improvement,vs augmentation_baseline: eval_subset_eer 0.3108 -> 0.3046 (-0.0062); weak_attack_mean_eer 0.4500 -> 0.4421
