epoch,train_loss,dev_loss,dev_accuracy,dev_precision,dev_recall,dev_f1,dev_roc_auc,dev_eer,learning_rate,epoch_time_seconds,best_checkpoint_saved
1,0.379787,0.10029,0.957777,0.999718,0.95322,0.975916,0.999104,0.01045,9.990232305719945e-05,679.43,True
2,0.049209,0.023229,0.991749,0.999277,0.991523,0.995385,0.9996,0.007759,9.960967771506666e-05,968.9,True
3,0.031881,0.015393,0.994365,0.999774,0.993945,0.996851,0.999883,0.002747,9.912321891107009e-05,660.94,True
4,0.02371,0.005856,0.997786,0.999641,0.997892,0.998766,0.999963,0.002377,9.844486647586723e-05,1065.8,True
5,0.014241,0.004142,0.998551,0.999327,0.999058,0.999193,0.999953,0.002355,9.757729755661011e-05,713.02,True
6,0.017947,0.002512,0.999034,0.998969,0.999955,0.999462,0.999997,0.000807,9.652393605146844e-05,627.79,True
7,0.013125,0.003224,0.998913,0.999776,0.999013,0.999394,0.999988,0.001615,9.528893909706797e-05,628.33,False
8,0.014443,0.001088,0.999597,0.999776,0.999776,0.999776,0.999997,0.000785,9.387718066217124e-05,625.73,True
9,0.012639,0.011482,0.996418,0.999775,0.996233,0.998001,0.999956,0.002557,9.229423231234974e-05,630.79,False
10,0.013746,0.000625,0.999839,0.99991,0.99991,0.99991,0.999999,0.000179,9.054634122155989e-05,631.29,True
11,0.005205,0.017431,0.994445,0.999865,0.993945,0.996896,0.999935,0.002601,8.864040551740155e-05,627.98,False
12,0.009984,0.001493,0.999638,0.999597,1.0,0.999798,0.999999,0.000583,8.658394705735986e-05,633.75,False
13,0.005314,0.000591,0.999758,0.99991,0.999821,0.999865,1.0,0.000359,8.438508174347008e-05,1053.8,False
14,0.004357,0.001138,0.999597,0.99991,0.999641,0.999776,0.999998,0.000404,8.205248749256013e-05,806.27,False
15,0.006706,0.00165,0.999638,0.999686,0.99991,0.999798,0.999995,0.000785,7.959536998847742e-05,618.68,False
16,0.007159,0.001211,0.999718,0.999731,0.999955,0.999843,0.999999,0.000404,7.702342635146032e-05,1160.05,False
17,0.003574,0.002552,0.999638,0.999865,0.999731,0.999798,0.999777,0.001177,7.434680686803489e-05,1242.56,False
18,0.00353,0.002718,0.999195,0.999104,1.0,0.999552,1.0,0.000135,7.157607493247108e-05,1190.92,True
19,0.002979,0.002726,0.999195,0.999104,1.0,0.999552,0.999999,0.000449,6.872216535789155e-05,1226.29,False
20,0.005032,0.00134,0.999517,0.999776,0.999686,0.999731,0.999997,0.001177,6.579634122155988e-05,895.71,False
21,0.002406,0.000842,0.999839,0.999865,0.999955,0.99991,0.999999,0.000628,6.28101494146603e-05,688.94,False
22,0.003582,0.000842,0.999758,0.99991,0.999821,0.999865,0.999999,0.000359,5.9775375071993364e-05,651.84,False
23,0.002983,0.000434,0.999879,0.99991,0.999955,0.999933,1.0,0.000135,5.670399506143306e-05,601.07,False
24,0.002166,0.001497,0.999678,0.999686,0.999955,0.999821,0.999999,0.000583,5.3608130716701005e-05,614.07,False
25,0.002054,0.000311,0.999919,0.99991,1.0,0.999955,1.0,0.000269,5.049999999999999e-05,598.22,False
26,0.002287,0.001254,0.999718,0.999731,0.999955,0.999843,0.999997,0.000785,4.7391869283298976e-05,609.22,False
27,0.003067,0.005053,0.998792,0.998701,0.999955,0.999328,0.9998,0.000785,4.429600493856693e-05,597.5,False
28,0.001111,0.000618,0.999799,0.999821,0.999955,0.999888,0.999999,0.000392,4.122462492800662e-05,598.03,False
